name,price,brand,operating_system,ram,cpu_model,cpu_speed,ratings_count,url
SAMSUNG Galaxy S23+ Plus 5G Factory Unlocked 512GB - Lavender (Renewed),,Samsung,Android,8 GB,Snapdragon,3.36 GHz,(86),https://www.amazon.com/SAMSUNG-Galaxy-S23-Factory-Unlocked/dp/B0C7D382QJ/ref=sr_1_160?dib=eyJ2IjoiMSJ9.KJukdzIZalCDveMlYWjVMkeSb7sjlEfTL6STzFaFLq5jYiFIo1zvAVaUz3xxhEyd3AFNpkob0WcIZgcUnYvSL8qcf647BbvpvipxQ6k8A-B5CPQgjiOQl-5HJwwfpWkAgJZ9YG47LiaOIgfVP54LfnQMPoHqttQlEwjcwafmOyY3XiIdoXpWWLhdb3m14ZEXlyKldVqZATdihFjyinYbbC0zacywRRXSF61h6UjJfdw.s4mqvSjo8KUC2YIe_yUwEkasFgx0LBfvxlGlQppJysw&dib_tag=se&keywords=samsung+phone&qid=1774770319&sr=8-160
Samsung Galaxy A6 32GB Factory Unlocked Phone - 5.6 - Black (Renewed),,Samsung,Android 8.0,8 GB,Snapdragon,1.6 GHz,(202),https://www.amazon.com/Samsung-A6-32GB-SM-A600P-Smartphone/dp/B07RLSQ1FF/ref=sr_1_159?dib=eyJ2IjoiMSJ9.KJukdzIZalCDveMlYWjVMkeSb7sjlEfTL6STzFaFLq5jYiFIo1zvAVaUz3xxhEyd3AFNpkob0WcIZgcUnYvSL8qcf647BbvpvipxQ6k8A-B5CPQgjiOQl-5HJwwfpWkAgJZ9YG47LiaOIgfVP54LfnQMPoHqttQlEwjcwafmOyY3XiIdoXpWWLhdb3m14ZEXlyKldVqZATdihFjyinYbbC0zacywRRXSF61h6UjJfdw.s4mqvSjo8KUC2YIe_yUwEkasFgx0LBfvxlGlQppJysw&dib_tag=se&keywords=samsung+phone&qid=1774770319&sr=8-159
Samsung Galaxy S23 FE Factory Unlocked 128GB - Mint (Renewed),,Samsung,Android,8 GB,Snapdragon,2.8 GHz,(77),https://www.amazon.com/Samsung-Galaxy-S23-FE-Unlocked/dp/B0CXJLF4CN/ref=sr_1_158?dib=eyJ2IjoiMSJ9.KJukdzIZalCDveMlYWjVMkeSb7sjlEfTL6STzFaFLq5jYiFIo1zvAVaUz3xxhEyd3AFNpkob0WcIZgcUnYvSL8qcf647BbvpvipxQ6k8A-B5CPQgjiOQl-5HJwwfpWkAgJZ9YG47LiaOIgfVP54LfnQMPoHqttQlEwjcwafmOyY3XiIdoXpWWLhdb3m14ZEXlyKldVqZATdihFjyinYbbC0zacywRRXSF61h6UjJfdw.s4mqvSjo8KUC2YIe_yUwEkasFgx0LBfvxlGlQppJysw&dib_tag=se&keywords=samsung+phone&qid=1774770319&sr=8-158
SAMSUNG Galaxy A54 5G (128GB 6GB) 6.4 120Hz AMOLED 50MP 4K Triple Camera US 5G / Global 4G Volte (GSM Unlocked for AT&T T-Mobile Metro) A546U (Awesome Black) (Renewed),,Samsung,Android,6 GB,Exynos 1380,2.4 GHz,(324),https://www.amazon.com/SAMSUNG-Galaxy-A54-5G-Unlocked/dp/B0C95JB5SL/ref=sr_1_157?dib=eyJ2IjoiMSJ9.KJukdzIZalCDveMlYWjVMkeSb7sjlEfTL6STzFaFLq5jYiFIo1zvAVaUz3xxhEyd3AFNpkob0WcIZgcUnYvSL8qcf647BbvpvipxQ6k8A-B5CPQgjiOQl-5HJwwfpWkAgJZ9YG47LiaOIgfVP54LfnQMPoHqttQlEwjcwafmOyY3XiIdoXpWWLhdb3m14ZEXlyKldVqZATdihFjyinYbbC0zacywRRXSF61h6UjJfdw.s4mqvSjo8KUC2YIe_yUwEkasFgx0LBfvxlGlQppJysw&dib_tag=se&keywords=samsung+phone&qid=1774770319&sr=8-157
Samsung Galaxy S21 FE 128GB Graphite Factory Unlocked (Renewed),,Samsung,Android 13.0,6 GB,Exynos 2100 S5E8840,2.84,(30),https://www.amazon.com/Samsung-Graphite-Factory-Unlocked-Renewed/dp/B0F39KLS64/ref=sr_1_156?dib=eyJ2IjoiMSJ9.KJukdzIZalCDveMlYWjVMkeSb7sjlEfTL6STzFaFLq5jYiFIo1zvAVaUz3xxhEyd3AFNpkob0WcIZgcUnYvSL8qcf647BbvpvipxQ6k8A-B5CPQgjiOQl-5HJwwfpWkAgJZ9YG47LiaOIgfVP54LfnQMPoHqttQlEwjcwafmOyY3XiIdoXpWWLhdb3m14ZEXlyKldVqZATdihFjyinYbbC0zacywRRXSF61h6UjJfdw.s4mqvSjo8KUC2YIe_yUwEkasFgx0LBfvxlGlQppJysw&dib_tag=se&keywords=samsung+phone&qid=1774770319&sr=8-156
Samsung Galaxy S21 5G US Version 128GB Phantom Gray- Verizon (Renewed),,Samsung,Android,8 GB,Others,2.84 GHz,(339),https://www.amazon.com/Samsung-Galaxy-S21-5G-Version/dp/B093CB2R6L/ref=sr_1_155?dib=eyJ2IjoiMSJ9.KJukdzIZalCDveMlYWjVMkeSb7sjlEfTL6STzFaFLq5jYiFIo1zvAVaUz3xxhEyd3AFNpkob0WcIZgcUnYvSL8qcf647BbvpvipxQ6k8A-B5CPQgjiOQl-5HJwwfpWkAgJZ9YG47LiaOIgfVP54LfnQMPoHqttQlEwjcwafmOyY3XiIdoXpWWLhdb3m14ZEXlyKldVqZATdihFjyinYbbC0zacywRRXSF61h6UjJfdw.s4mqvSjo8KUC2YIe_yUwEkasFgx0LBfvxlGlQppJysw&dib_tag=se&keywords=samsung+phone&qid=1774770319&sr=8-155
SAMSUNG Galaxy S23 5G (128GB 8GB) 6.1 AMOLED 50MP 8K Camera Global Volte (International Model Fully Unlocked for AT&T Verizon T-Mobile Global 5G) S911W (w/ 25W Fast Charger Phantom Black),,Samsung,Android 13.0,8 GB,Qualcomm Snapdragon MSM8260A,3.2E+3 MHz,(123),https://www.amazon.com/SAMSUNG-International-Unlocked-Verizon-T-Mobile/dp/B0BQ4YCB92/ref=sr_1_154?dib=eyJ2IjoiMSJ9.KJukdzIZalCDveMlYWjVMkeSb7sjlEfTL6STzFaFLq5jYiFIo1zvAVaUz3xxhEyd3AFNpkob0WcIZgcUnYvSL8qcf647BbvpvipxQ6k8A-B5CPQgjiOQl-5HJwwfpWkAgJZ9YG47LiaOIgfVP54LfnQMPoHqttQlEwjcwafmOyY3XiIdoXpWWLhdb3m14ZEXlyKldVqZATdihFjyinYbbC0zacywRRXSF61h6UjJfdw.s4mqvSjo8KUC2YIe_yUwEkasFgx0LBfvxlGlQppJysw&dib_tag=se&keywords=samsung+phone&qid=1774770319&sr=8-154
Tracfone | Samsung Galaxy A14 5G | Locked | 64GB | 5000mAh Battery | 50 MP triple-camera system | 6.6-in. FHD+ LCD Display | Black,,TracFone,Android 13.0,4 GB,Snapdragon,2.2 GHz,(533),https://www.amazon.com/Tracfone-Samsung-5000mAh-Battery-triple-camera/dp/B0CCT2BR1J/ref=sr_1_153?dib=eyJ2IjoiMSJ9.KJukdzIZalCDveMlYWjVMkeSb7sjlEfTL6STzFaFLq5jYiFIo1zvAVaUz3xxhEyd3AFNpkob0WcIZgcUnYvSL8qcf647BbvpvipxQ6k8A-B5CPQgjiOQl-5HJwwfpWkAgJZ9YG47LiaOIgfVP54LfnQMPoHqttQlEwjcwafmOyY3XiIdoXpWWLhdb3m14ZEXlyKldVqZATdihFjyinYbbC0zacywRRXSF61h6UjJfdw.s4mqvSjo8KUC2YIe_yUwEkasFgx0LBfvxlGlQppJysw&dib_tag=se&keywords=samsung%2Bphone&qid=1774770319&sr=8-153&th=1
SAMSUNG Galaxy Note 10+ Plus (256GB 12GB) 6.8 QHD+ AMOLED Snapdragon 855 4300mAh Battery 4G LTE Fully Unlocked (T-Mobile Verizon Global) N975U1 US Model (w/Wireless Charger Pad Aura Black),,Samsung,Android,12 GB,Snapdragon,2.84 GHz,(178),https://www.amazon.com/SAMSUNG-Snapdragon-Unlocked-T-Mobile-Wireless/dp/B0BJ16M98N/ref=sr_1_152?dib=eyJ2IjoiMSJ9.KJukdzIZalCDveMlYWjVMkeSb7sjlEfTL6STzFaFLq5jYiFIo1zvAVaUz3xxhEyd3AFNpkob0WcIZgcUnYvSL8qcf647BbvpvipxQ6k8A-B5CPQgjiOQl-5HJwwfpWkAgJZ9YG47LiaOIgfVP54LfnQMPoHqttQlEwjcwafmOyY3XiIdoXpWWLhdb3m14ZEXlyKldVqZATdihFjyinYbbC0zacywRRXSF61h6UjJfdw.s4mqvSjo8KUC2YIe_yUwEkasFgx0LBfvxlGlQppJysw&dib_tag=se&keywords=samsung+phone&qid=1774770319&sr=8-152
Samsung Galaxy A51 128GB (6.5 inch) Display Quad Camera 48MP A515U T-Mobile/Sprint Unlocked Phone - Black (Renewed),,Samsung,Android 10.0,4 GB,Snapdragon,2.2 GHz,(176),https://www.amazon.com/A51-128GB-A515U-T-Mobile-Unlocked/dp/B086JYZY5T/ref=sr_1_151?dib=eyJ2IjoiMSJ9.KJukdzIZalCDveMlYWjVMkeSb7sjlEfTL6STzFaFLq5jYiFIo1zvAVaUz3xxhEyd3AFNpkob0WcIZgcUnYvSL8qcf647BbvpvipxQ6k8A-B5CPQgjiOQl-5HJwwfpWkAgJZ9YG47LiaOIgfVP54LfnQMPoHqttQlEwjcwafmOyY3XiIdoXpWWLhdb3m14ZEXlyKldVqZATdihFjyinYbbC0zacywRRXSF61h6UjJfdw.s4mqvSjo8KUC2YIe_yUwEkasFgx0LBfvxlGlQppJysw&dib_tag=se&keywords=samsung+phone&qid=1774770319&sr=8-151
