spec_id,phone_id,ram,cpu_id,cpu_speed
1,1,8 GB,1,Not Specified
2,2,12 GB,2,3.39 GHz
3,3,12 GB,2,3.39 GHz
4,4,12 GB,2,3.36 GHz
5,5,4 GB,3,2 GHz
6,6,8 GB,2,Not Specified
7,7,8 GB,4,3.2 GHz
8,8,8 GB,2,3.36 GHz
9,9,12 GB,5,Not Specified
10,10,8 GB,6,1.78 GHz
11,11,12 GB,2,2.8 GHz
12,12,12 GB,2,3.3 GHz
13,13,12 GB,2,4.47 GHz
14,14,8 GB,7,2.7 GHz
15,15,Not Specified,8,Not Specified
16,16,6 GB,9,2.42 GHz
17,17,2 GB,10,1.35 GHz
18,18,12 GB,2,3.39 GHz
19,19,12 GB,2,4.47 GHz
20,20,12 GB,2,3.36E+3 MHz
21,21,8 GB,8,2.6 GHz
22,22,6 GB,2,"2.4, 2.4 GHz"
23,23,8 GB,11,3.4 MHz
24,24,4 GB,12,2.2 GHz
25,25,8 GB,2,2.8 GHz
26,26,12 GB,2,2.75 GHz
27,27,4 GB,13,Not Specified
28,28,12 GB,2,2.84 GHz
29,29,8 GB,14,2 GHz
30,30,12 GB,2,2.8 GHz
31,31,8 GB,2,2.7 GHz
32,32,4 GB,2,2.8 GHz
33,33,8 GB,2,2.84 GHz
34,34,Not Specified,15,2 GHz
35,35,4 GB,16,2.2 GHz
36,36,4 GB,4,2.4 GHz
37,37,8 GB,2,2.75 GHz
38,38,8 GB,17,3.36 GHz
39,39,8 GB,2,2.8 GHz
40,40,12 GB,2,3.39 GHz
41,41,6 GB,8,Not Specified
42,42,12 GB,18,3.39 GHz
43,43,8 GB,19,3.1 GHz
44,44,4 GB,10,2 GHz
45,45,8 GB,2,2.8 GHz
46,46,6 GB,20,2.2 GHz
47,47,4 GB,3,2 GHz
48,48,8 GB,2,Not Specified
49,49,8 GB,2,2.84 GHz
50,50,Not Specified,21,Not Specified
51,51,8 GB,22,2.8 GHz
52,52,8 GB,2,2.42 GHz
53,53,32 GB,2,1.8 GHz
54,54,12 GB,2,Not Specified
55,55,4 GB,8,Not Specified
56,56,12 GB,2,3.39 GHz
57,57,8 GB,2,2840 MHz
58,58,3 GB,2,1.8 GHz
59,59,8 GB,23,2.4 GHz
60,60,4 GB,14,2.4 GHz
61,61,3 GB,2,2.2 GHz
62,62,4 GB,16,2.2 GHz
63,63,8 GB,2,2.9 GHz
64,64,4 GB,10,2 GHz
65,65,12 GB,4,"2.2, 2.9, 3.1, 3.39 GHz"
66,66,12 GB,4,"2.2, 2.9, 3.1, 3.39 GHz"
67,67,12 GB,2,4.47 GHz
68,68,3 GB,2,2.2 GHz
69,69,6 GB,2,2.2 GHz
70,70,3 GB,24,2 GHz
71,71,3 GB,3,2.3 GHz
72,72,6 GB,25,2 GHz
73,73,6 GB,2,2.8 GHz
74,74,8 GB,2,Not Specified
75,75,8 GB,2,2.8E+3 MHz
76,76,12 GB,2,2.42 GHz
77,77,8 GB,26,2.9 GHz
78,78,8 GB,2,2.84 GHz
79,79,12 GB,2,3.36 GHz
80,80,12 GB,2,4.47 GHz
81,81,4 GB,27,1.74 GHz
82,82,8 GB,1,3.1 GHz
83,83,8 GB,2,2.8 GHz
84,84,8 GB,2,2.8 GHz
85,85,4 GB,14,2.4 GHz
86,86,12 GB,28,5 GHz
87,87,6 GB,29,2 GHz
88,88,128 GB,30,2.2 GHz
89,89,4 GB,2,2.2 GHz
90,90,2 GB,10,1.8 GHz
91,91,8 GB,1,2.4 GHz
92,92,8 GB,2,2.5 GHz
93,93,12 GB,31,2.84 GHz
94,94,4 GB,32,2 GHz
95,95,16 GB,12,2 GHz
96,96,8 GB,2,2.84 GHz
97,97,8 GB,2,2.8 GHz
98,98,8 GB,8,Not Specified
99,99,8 GB,2,2.84 GHz
100,100,12 GB,2,2.42 GHz
101,101,12 GB,2,3 GHz
102,102,12 GB,2,2.84 GHz
103,103,12 GB,2,2.42 GHz
104,104,8 GB,2,3.2 GHz
105,105,12 GB,4,"3.53, 4.47 GHz"
106,106,8 GB,2,2.84 GHz
107,107,4 GB,2,2.2 GHz
108,108,12 GB,26,Not Specified
109,109,4 GB,33,2 GHz
110,110,4 GB,33,2.2 GHz
111,111,8 GB,2,2.4 GHz
112,112,12 GB,2,2.84 GHz
113,113,12 GB,2,2.8 GHz
114,114,12 GB,2,2.84 GHz
115,115,12 GB,2,2.8 GHz
116,116,4 GB,34,2.4E+3 MHz
117,117,8 GB,22,3 GHz
118,118,8 GB,2,2.8 GHz
119,119,12 GB,2,3.36 GHz
120,120,8 GB,2,2.8 GHz
121,121,32 GB,4,1.61 GHz
122,122,12 GB,2,2.9 GHz
123,123,12 GB,2,3.39 GHz
124,124,4 GB,27,"1.6, 2.3 GHz"
125,125,4 GB,3,2 GHz
126,126,8 GB,29,2.6 GHz
127,127,8 GB,2,3.2E+3 MHz
128,128,8 GB,26,2.9 GHz
129,129,4 GB,35,2.2 GHz
130,130,4 GB,3,2 GHz
131,131,8 GB,2,2.84 GHz
132,132,12 GB,36,2.9 GHz
133,133,8 GB,2,2.8 GHz
134,134,8 GB,2,2.84 GHz
135,135,8 GB,2,3.2 GHz
136,136,3 GB,2,1.6 GHz
137,137,8 GB,2,3.39 GHz
138,138,12 GB,2,4.47 GHz
139,139,8 GB,2,3.36 GHz
140,140,8 GB,2,2.8 GHz
141,141,8 GB,2,3.36 GHz
142,142,4 GB,3,2 GHz
143,143,6 GB,4,2.84 GHz
144,144,8 GB,2,2.8 GHz
145,145,8 GB,2,2.8 GHz
146,146,8 GB,2,3.36 GHz
147,147,6 GB,2,2.8 GHz
148,148,8 GB,28,4 GHz
149,149,8 GB,2,2.4 GHz
150,150,4 GB,28,4 GHz
151,151,8 GB,2,2.8 GHz
152,152,12 GB,2,3.39 GHz
153,153,4 GB,3,2.03 GHz
154,154,8 GB,2,3.36 GHz
155,155,8 GB,8,Not Specified
156,156,12 GB,2,"3.53, 4.47 GHz"
157,157,8 GB,2,2.5 GHz
158,158,8 GB,2,2.42 GHz
159,159,8 GB,2,3.36 GHz
160,160,4 GB,28,2.2 GHz
